"Unique_ID","lowerCI","upperCI","nullmean","VR"
"CENTRAL_0",0.451098786096863,1.81724041350374,0.998812523808835,0.623517375307305
"CENTRAL_C",0.447074696393662,1.76362324203327,0.998081451429332,0.753760405636406
"CENTRAL_MW",0.431946974528421,1.7528793384782,0.996995554681872,1.02434870535025
"CENTRAL_MWC",0.442647164861627,1.81150870258301,0.993260600673961,0.764570568745042
"CENTRAL_W",0.420059519819284,1.87434485134302,0.997843802759132,0.604767865560746
"CENTRAL_WC",0.465904383114796,1.72528596014454,0.998748807829639,0.664288041218554
"NORTH_0",0.497443595410002,1.74553102383323,1.00147648324756,0.49064348793273
"NORTH_C",0.440600865973147,1.81251706118582,1.00165666985741,0.667925349130208
"NORTH_MW",0.436940556132693,1.77762453156294,0.999423594961982,0.769576750578999
"NORTH_MWC",0.461827875285949,1.78753730975713,1.00515712513791,0.741070220246982
"NORTH_W",0.424958238316299,1.82543486275151,0.99781276184679,0.689264120451697
"NORTH_WC",0.4473900746432,1.87015432974319,1.00610640699018,0.747934508247267
"SOUTH_0",0.476228147177267,1.68312186232432,0.994887969487656,0.635767119079054
"SOUTH_C",0.467307666145907,1.77869521418638,1.00553101283852,0.617165862001665
"SOUTH_MW",0.433223493300376,1.83302309285349,0.997999529838291,0.880893061107195
"SOUTH_MWC",0.488968875075465,1.69254805904479,1.00241406560643,0.752199135606904
"SOUTH_W",0.462230623558529,1.84220874067401,1.00011411186279,1.03022916313098
"SOUTH_WC",0.412709869335575,1.8896514059996,0.996306558802774,0.862660988749373
