"","TREATMENT","community_type","mean_cVR","SE_cVR","mean_lVR","SE_lVR","mean_sVR","SE_sVR"
"1","C","All Species",1.30455030392599,0.0819998560358002,1.08067451426279,0.104427546602747,2.45917008318532,0.519380698273644
"2","C","Dominant",0.764382174136474,0.0616740717982941,0.661701269677506,0.0782394394881986,1.35183943773339,0.206295195992179
"3","MW","All Species",1.42206122240296,0.129722865420757,1.1102705426944,0.0995143036206702,2.80389498246921,0.215224684351538
"4","MW","Dominant",0.865585771558959,0.05338896354507,0.723345110388172,0.0386243642574134,1.55531038136424,0.107898007810513
"5","MWC","All Species",2.13104054622371,0.0567544394388658,1.69600470039072,0.0801649705644028,3.19147390964283,0.342558347376261
"6","MWC","Dominant",1.50004403726157,0.0398223544411794,1.35308762665358,0.0594518862647141,1.85109638606861,0.10073928698467
"7","O","All Species",0.954369157841807,0.106668855211784,0.853805693490631,0.0985701821487948,1.65528866321761,0.199827993119778
"8","O","Dominant",0.529735859454222,0.12246465748918,0.493221736687105,0.120340508353967,0.834488221123085,0.190908636190831
"9","W","All Species",0.998892792667347,0.0589605826186647,0.76251660366245,0.0842984214639893,2.30633236525832,0.367083386272117
"10","W","Dominant",0.551708565376175,0.0791628558603447,0.472251712590296,0.0699728929161854,1.07122086542747,0.26452046315773
"11","WC","All Species",1.77878313550195,0.217212140005589,1.3913634726777,0.229649933156986,3.18998331212556,0.127685399795109
"12","WC","Dominant",1.3463301141695,0.106137190034882,1.17618883263599,0.12361696383708,1.99317171316387,0.0713221416681089
