Month,North,Central,South,Mean,
,,,,,
Mar-96,,,,17.3,
Apr-96,,,,33.4,
May-96,,,,11.9,
Jun-96,,,,154.9,
Jul-96,,,,44.0,
Aug-96,,,,50.1,
Sep-96,,,,,KLEE data missing--or no rain?
Oct-96,,,,25.1,
Nov-96,,,,63.5,
Dec-96,,,,,KLEE data missing--or no rain?
,,,,,
Jan-97,,,,,KLEE data missing--or no rain?
Feb-97,,,,,KLEE data missing--or no rain?
Mar-97,,,,59.9,
Apr-97,,,,251.0,
May-97,,,,38.4,
Jun-97,,,,51.2,
Jul-97,,,,67.5,
Aug-97,,,,8.4,
Sep-97,,,,,KLEE data missing--or no rain?
Oct-97,,,,109.8,
Nov-97,,,,257.7,
Dec-97,,,,,KLEE data missing--or no rain?
,,,,,
Jan-98,,,,140.3,
Feb-98,,,,30.3,
Mar-98,,,,6.6,
Apr-98,,,,58.4,
May-98,,,,208.2,
Jun-98,,,,24.8,
Jul-98,,,,76.3,
Aug-98,,,,88.8,No KLEE data- used adjusted MRC for composite
Sep-98,,,,10.6,
Oct-98,,,,109.0,
Nov-98,,,,91.8,
Dec-98,,,,19.5,
,,,,864.7,
Jan-99,,,,7.1,
Feb-99,,,,0.0,
Mar-99,,,,60.3,
Apr-99,,,,30.7,
May-99,,,,12.9,
Jun-99,,,,0.0,
Jul-99,,,,89.2,No KLEE data- used adjusted MRC for composite
Aug-99,,,,61.5,
Sep-99,,,,4.3,
Oct-99,,,,38.5,
Nov-99,,,,46.1,No KLEE data- used adjusted MRC for composite
Dec-99,,,,20.8,No KLEE data- used adjusted MRC for composite
,,,,371.4,
Jan-00,,,,7.9,No KLEE data- used adjusted MRC for composite
Feb-00,,,,7.3,No KLEE data- used adjusted MRC for composite
Mar-00,,,,7.3,No KLEE data- used adjusted MRC for composite
Apr-00,,,,10.2,No KLEE data- used adjusted MRC for composite
May-00,,,,32.1,No KLEE data- used adjusted MRC for composite
Jun-00,,,,24.6,No KLEE data- used adjusted MRC for composite
Jul-00,,,,54.0,No KLEE data- used adjusted MRC for composite
Aug-00,,,,120.6,No KLEE data- used adjusted MRC for composite
Sep-00,,,,13.0,No KLEE data- used adjusted MRC for composite
Oct-00,,,,20.9,No KLEE data- used adjusted MRC for composite
Nov-00,,,,32.8,No KLEE data- used adjusted MRC for composite
Dec-00,,,,20.0,No KLEE data- used adjusted MRC for composite
,,,,350.4,
Jan-01,,,,43.2,No KLEE data- used adjusted MRC for composite
Feb-01,,,,0.0,
Mar-01,,,,38.4,
Apr-01,,,,89.3,
May-01,,,,54.5,
Jun-01,,,,91.1,
Jul-01,,,,60.1,
Aug-01,,,,58.2,
Sep-01,,,,36.3,
Oct-01,,,,66.6,
Nov-01,,,,131.2,
Dec-01,,,,47.0,
,,,,715.8,
Jan-02,,,,7.7,
Feb-02,,,,0.0,
Mar-02,,,,43.7,
Apr-02,,,,70.1,
May-02,,,,76.4,
Jun-02,,,,41.4,
Jul-02,,,,37.7,
Aug-02,,,,28.2,
Sep-02,,,,9.5,
Oct-02,,,,60.8,
Nov-02,,,,82.2,
Dec-02,,,,89.2,
,,,,546.8,
Jan 03,12.5,20,14.9,15.8,
Feb 03,13,14,11,12.7,
Mar 03,13.1,14.9,14.3,14.1,
Apr 03,261.8,269.3,279,270.0,
May 03,77.1,70.2,72.3,73.2,
Jun 03,68.2,66.2,71.8,68.7,
Jul 03,12.7,9,9.2,10.3,
Aug 03,41.7,40.4,40.6,40.9,
Sep 03,34.6,28.8,25.1,29.5,
Oct 03,33.2,36.5,39.3,36.3,
Nov 03,116,109,120.2,115.1,
Dec 03,91,96.2,97.7,95.0,
,,,,,
Jan 04,132.3,126,111.5,123.3,
Feb 04,13.2,15.8,16,15.0,
Mar 04,96.5,98.1,100.6,98.4,
apr 04,222.1,197.5,190.1,203.2,
may 04,38.4,39.2,44.2,40.6,
jun 04,0,0,0,0.0,
jul 04,29.4,42.2,46.9,39.5,
aug 04,60.2,70.7,80.7,70.5,
sep 04,41.2,57.2,53.6,50.7,
oct 04,27.3,34.8,46.3,36.1,
nov 04,136.3,147.2,159.7,147.7,
dec 04,6.2,7.4,7.4,7.0,
,,,,,
Jan 05,19.3,15,14.5,16.3,
Feb 05,0,0,0,0.0,
Mar 05,10,13,11.5,11.5,
Apr 05,47.4,48.8,62,52.7,
May 05,146.3,133.2,141.9,140.5,
Jun 05,34.3,35.8,29.9,33.3,
Jul 05,7.4,7.5,7.9,7.6,
Aug 05,37.4,41.2,39.9,39.5,
Sep 05,56.6,66.4,62.3,61.8,
Oct 05,54.2,68.5,75,65.9,
Nov 05,18.7,15.8,13.8,16.1,
Dec 05,3.8,5,5.5,4.8,
,,,,,
Jan 06,6,5,5,5.3,
Feb 06,13,11.5,14,12.8,
Mar 06,5.8,6.6,6.6,6.3,
Apr 06,50,54.8,48.7,51.2,
May 06,77.3,90.9,83.6,83.9,
Jun 06,14.4,18.8,20.9,18.0,
Jul 06,28.6,28.3,36.9,31.3,
Aug 06,79,54,74.1,69.0,
Sep 06,5,6.8,8,6.6,
Oct 06,79,78.6,81.6,79.7,
Nov 06,103.5,111.8,100,105.1,
Dec 06,32,30,28.5,30.2,
,,,,,
Jan 07,18.8,18.5,17.8,18.4,
Feb 07,0,0,0,0.0,
Mar 07,9.8,7,5,7.3,
Apr 07,52.2,36.6,37.4,42.1,
May 07,48.8,52.5,58,53.1,
Jun 07,97.6,85.8,82.8,88.7,
Jul 07,66,65.3,59.3,63.5,
Aug 07,69,66.4,68.8,68.1,
Sep 07,65.9,73.4,72.6,70.6,
Oct 07,13.2,15.1,14.8,14.4,
Nov 07,19,21,24,21.3,
Dec 07,5.8,3.3,2.9,4.0,
,,,,,
Jan 08,21.3,21.1,22.1,21.5,
Feb 08,0,0,0,0.0,
Mar 08,81.4,79.9,75.4,78.9,
Apr 08,48.8,52,54.2,51.7,
May 08,54.8,50.2,45.1,50.0,
Jun 08,13.5,15.2,12.8,13.8,
Jul 08,44.6,47.9,53.2,48.6,
Aug 08,31.3,39.6,37.7,36.2,
Sep 08,30.5,33.2,39.3,34.3,
Oct 08,101.1,104.3,108.4,104.6,
Nov 08,144,130.6,127.6,134.1,
Dec 08,3,2.6,2.4,2.7,
,,,,,
Jan 09,42.3,36.6,29.5,36.1,
Feb 09,0,0,0,0.0,
Mar 09,0,0,0,0.0,
Apr 09,18.1,14.2,15.2,15.8,
May 09,66.2,58.7,66.7,63.9,
Jun 09,6.4,7.9,8.7,7.7,
Jul 09,13.2,13.5,13.1,13.3,
Aug 09,2.2,13,11.8,9.0,
Sept 09,2.6,0.5,0.3,1.1,
Oct 09,92.9,84.1,84.4,87.1,
Nov 09,66.7,60,63.6,63.4,
Dec 09,124.5,129.3,137.5,130.4,
,,,,,
Jan 10,0.6,1.2,1.2,1.0,
Feb 10,29.5,24,25,26.2,
Mar 10,76.8,88.5,90.3,85.2,
Apr 10,87.7,131.6,131.8,117.0,
May 10,75.7,86.6,85.5,82.6,
Jun 10,102.3,85.5,76,87.9,
Jul 10,62.6,66.1,65.2,64.6,
Aug 10,48.5,53.4,56.8,52.9,
Sept 10,0.5,0.9,1,0.8,
Oct 10,40.1,30.7,30.8,33.9,
Nov 10,22.1,28.5,25.5,25.4,
Dec 10,1.8,1.5,0.2,1.2,
,,,,,
Jan 11,18,13,14.5,15.2,
Feb 11,14,12,10,12.0,
Mar 11,58.6,61.2,56.7,58.8,
Apr 11,42.8,53.1,49.7,48.5,
May 11,91.5,84,92,89.2,
Jun 11,127.5,167.2,167.7,154.1,
Jul 11,75.8,89.1,90.7,85.2,
Aug 11,95.2,108.6,110.5,104.8,
Sept 11,102.2,107.2,99,102.8,
Oct 11,139.4,128.1,122.3,129.9,
Nov 11,133.5,164.3,156.9,151.6,
Dec 11,45,52,56,51.0,
,,,,,
Jan 12,0,0,0,0.0,
Feb 12,2.3,3.2,4.9,3.5,
Mar 12,0,0,0,0.0,
Apr 12,121.6,109.6,107.1,112.8,
